"CHR" "SNP" "BP" "BETA" "STAT" "P" "OlinkID" "protein_chr_name" "protein_gene_name" "protein_ensg_id" "Type_variant" "SNP_ensg_id" "SNP_gene_name" "protein_begin" "protein_end" "SNP_type" "tot" "BPcum" "is_annotate"
"20" "." 29016598 -0.5074 -6.384 6.115e-09 "OID01302" "1" "CFHR5" "ENSG00000134389" "Intergenic" NA NA 196977556 197009674 "Trans" 1410791163 1439807761 "yes"
"20" "rs199859813" 45220186 1.17 6.985 3.73e-10 "OID01308" "7" "GSAP" "ENSG00000186088" "Upstream" "ENSG00000124157" "SEMG2" 77310751 77416400 "Trans" 1410791163 1456011349 "yes"
"20" "rs5842428" 63576363 0.5382 6.863 6.614e-10 "OID00713" "4" "FGFBP1" "ENSG00000137440" "Upstream" "ENSG00000130589" "HELZ2" 15935569 15938740 "Trans" 1410791163 1474367526 "yes"
"21" "." 10270242 1.765 8.409 3.849e-13 "OID01028" "1" "CLSPN" "ENSG00000092853" "Intergenic" NA NA 35720218 35769967 "Trans" 1474367526 1484637768 "yes"
"21" "rs775594353" 43776442 -0.4763 -10.55 9.999e-18 "OID00575" "21" "CSTB" "ENSG00000160213" "UTR_variant" "ENSG00000160213" "CSTB" 43772512 43776445 "Cis" 1474367526 1518143968 "yes"
"22" "rs2241047" 17105693 -0.5324 -14.04 5.366e-25 "OID00566" "22" "IL17RA" "ENSG00000177663" "Intronic" "ENSG00000177663" "IL17RA" 17084954 17115694 "Cis" 1518143968 1535249661 "yes"
"22" "rs8139921" 30621470 -0.1924 -6.384 7.13e-09 "OID01259" "22" "TCN2" "ENSG00000185339" "Intronic" "ENSG00000185339" "TCN2" 30606838 30627278 "Cis" 1518143968 1548765438 "yes"
"22" "rs4821544" 36862461 -1.755 -16.21 3.082e-29 "OID01113" "22" "PVALB" "ENSG00000100362" "Intronic" "ENSG00000100365" "NCF4" 36800684 36819479 "Cis" 1518143968 1555006429 "yes"
"3" "rs9839475" 3766094 0.4184 9.72 5.931e-16 "OID01362" "3" "LRRN1" "ENSG00000175928" "Intronic" "ENSG00000144455" "SUMF1" 3799437 3847703 "Cis" 1555006429 1558772523 "yes"
"3" "rs74793294" 8842697 1.11 7.817 6.905e-12 "OID00532" "17" "CCL3" "ENSG00000277632" "Intronic" "ENSG00000070950" "RAD18" 36088256 36090169 "Trans" 1555006429 1563849126 "yes"
"3" "rs4687657" 52818522 0.7025 8.491 2.565e-13 "OID00327" "3" "MME" "ENSG00000196549" "Coding_sequence_variant" "ENSG00000055955" "ITIH4" 155024124 155183729 "Trans" 1555006429 1607824951 "yes"
"3" "rs35831251" 53421246 0.08143 6.377 6.695e-09 "OID01072" "8" "PDP1" "ENSG00000164951" "Intronic" "ENSG00000157388" "CACNA1D" 93857807 93926066 "Trans" 1555006429 1608427675 "yes"
"3" "rs6801605" 53842191 0.4986 7.658 1.492e-11 "OID01385" "3" "IL17RB" "ENSG00000056736" "Upstream" "ENSG00000056736" "IL17RB" 53846580 53865800 "Cis" 1555006429 1608848620 "yes"
"3" "rs2306272" 66384219 -0.2514 -8.171 1.232e-12 "OID01121" "3" "LRIG1" "ENSG00000144749" "Coding_sequence_variant" "ENSG00000144749" "LRIG1" 66378797 66501263 "Cis" 1555006429 1621390648 "yes"
"3" "rs11914552" 88728571 0.1669 7.438 4.304e-11 "OID01057" "6" "SIRT5" "ENSG00000124523" "Intergenic" NA NA 13574529 13615158 "Trans" 1555006429 1643735000 "yes"
"3" "rs62276455" 98698637 -0.1707 -6.657 1.734e-09 "OID00740" "5" "FLT4" "ENSG00000037280" "Intergenic" NA NA 180601506 180649624 "Trans" 1555006429 1653705066 "yes"
"3" "rs11385511" 98712649 0.2985 8.361 4.864e-13 "OID00646" "17" "ICAM2" "ENSG00000108622" "Downstream" "ENSG00000239445" "ST3GAL6-AS1" 64002594 64020634 "Trans" 1555006429 1653719078 "yes"
"3" "rs73864241" 135059930 0.6441 7.852 5.84e-12 "OID00548" "19" "NRTN" "ENSG00000171119" "Intronic" "ENSG00000154928" "EPHB1" 5823802 5828324 "Trans" 1555006429 1690066359 "yes"
"3" "rs13068480" 135630820 0.369 6.43 4.941e-09 "OID01241" "4" "KIT" "ENSG00000157404" NA NA NA 54657918 54740715 "Trans" 1555006429 1690637249 "yes"
"3" "rs7625980" 186675758 0.6465 11.49 9.95e-20 "OID01304" "10" "CRTAC1" "ENSG00000095713" "Intronic" "ENSG00000113905" "HRG" 97865000 98030828 "Trans" 1555006429 1741682187 "yes"
"4" "rs6842052" 15717077 -0.4769 -14.1 4.047e-25 "OID01436" "4" "BST1" "ENSG00000109743" "Intronic" "ENSG00000109743" "BST1" 15702950 15738313 "Cis" 1741682187 1757399264 "yes"
"4" "rs13147737" 24289242 0.223 6.525 3.303e-09 "OID01086" "17" "PLXDC1" "ENSG00000161381" "Intergenic" NA NA 39063303 39154394 "Trans" 1741682187 1765971429 "yes"
"4" "rs116039536" 46345914 0.5127 6.319 8.246e-09 "OID00711" "11" "MDK" "ENSG00000110492" NA NA NA 46380756 46383837 "Trans" 1741682187 1788028101 "yes"
"4" "." 49295919 0.7667 6.344 7.349e-09 "OID00454" "5" "FABP6" "ENSG00000170231" "Intergenic" NA NA 160187367 160238735 "Trans" 1741682187 1790978106 "yes"
"4" "." 51243706 -0.3434 -6.716 1.314e-09 "OID01266" "2" "DPP4" "ENSG00000197635" NA NA NA 161992241 162074542 "Trans" 1741682187 1792925893 "yes"
"4" "." 56685957 -0.3827 -7.365 6.11e-11 "OID00438" "12" "SELPLG" "ENSG00000110876" "Upstream" "ENSG00000171476" "HOPX" 108622277 108633959 "Trans" 1741682187 1798368144 "yes"
"4" "rs201895696" 57567863 0.5025 6.361 6.781e-09 "OID01023" "12" "LAG3" "ENSG00000089692" "Intergenic" NA NA 6772512 6778455 "Trans" 1741682187 1799250050 "yes"
"4" "rs62312418" 73835795 0.5359 8.804 5.518e-14 "OID00534" "4" "CXCL6" "ENSG00000124875" "Upstream" "ENSG00000124875" "CXCL6" 73836497 73849064 "Cis" 1741682187 1815517982 "yes"
"4" "rs6842490" 74792593 -0.6567 -7.002 3.438e-10 "OID01081" "4" "BTC" "ENSG00000174808" "Intronic" "ENSG00000174808" "BTC" 74744759 74794686 "Cis" 1741682187 1816474780 "yes"
"4" "rs4859865" 77624601 -0.276 -6.51 3.421e-09 "OID01351" "19" "SULT2A1" "ENSG00000105398" "Intergenic" NA NA 47870466 47886397 "Trans" 1741682187 1819306788 "yes"
"4" "." 79167254 0.4569 7.173 1.597e-10 "OID01025" "6" "CD83" "ENSG00000112149" "Intronic" "ENSG00000249307" "LINC01088" 14117256 14136918 "Trans" 1741682187 1820849441 "yes"
"4" "rs76152300" 83833809 0.2798 6.363 6.736e-09 "OID00977" "2" "CD28" "ENSG00000178562" NA NA NA 203706475 203738912 "Trans" 1741682187 1825515996 "yes"
"4" "rs4693166" 87501221 0.1836 7.988 3.018e-12 "OID01287" "4" "SPARCL1" "ENSG00000152583" "Intronic" "ENSG00000152583" "SPARCL1" 87473335 87531061 "Cis" 1741682187 1829183408 "yes"
"4" "rs6148575" 94315160 -0.234 -6.97 4.004e-10 "OID01105" "4" "HPGDS" "ENSG00000163106" "Intronic" "ENSG00000163106" "HPGDS" 94298535 94342876 "Cis" 1741682187 1835997347 "yes"
"4" "rs13112018" 105087044 0.5161 6.738 1.191e-09 "OID00489" "6" "IL20RA" "ENSG00000016402" "Intronic" "ENSG00000248373" "RP11-556I14.1" 136999971 137045180 "Trans" 1741682187 1846769231 "yes"
"4" "rs2122307" 122767813 -0.5875 -7.855 5.749e-12 "OID00954" "4" "FGF2" "ENSG00000138685" "Intergenic" NA NA 122826708 122898236 "Cis" 1741682187 1864450000 "yes"
"4" "rs13132845" 168689136 0.7083 7.142 1.768e-10 "OID00369" "8" "DKK4" "ENSG00000104371" "Intronic" "ENSG00000129116" "PALLD" 42374068 42377232 "Trans" 1741682187 1910371323 "yes"
"4" "." 177169905 -0.4965 -6.604 2.623e-09 "OID01448" "X" "VSIG4" "ENSG00000155659" "Intergenic" NA NA 66021738 66040125 "Trans" 1741682187 1918852092 "yes"
"4" "rs35840473" 182360141 -0.795 -8.047 2.254e-12 "OID01478" "X" "XG" "ENSG00000124343" "Intronic" "ENSG00000218336" "TENM3" 2752050 2815927 "Trans" 1741682187 1924042328 "yes"
"4" "rs3775291" 186082920 -0.7214 -11.69 3.751e-20 "OID00714" "4" "TLR3" "ENSG00000164342" "Coding_sequence_variant" "ENSG00000164342" "TLR3" 186069152 186088069 "Cis" 1741682187 1927765107 "yes"
"4" "rs34558009" 189017636 0.4034 6.868 6.452e-10 "OID00576" "17" "CCL2" "ENSG00000108691" "Intergenic" NA NA 34255218 34257203 "Trans" 1741682187 1930699823 "yes"
"5" "rs111811964" 258323 0.3304 6.417 5.266e-09 "OID01429" "19" "BCAM" "ENSG00000187244" NA NA NA 44809059 44821420 "Trans" 1930699823 1930958146 "yes"
"5" "rs1689755" 4109367 0.5386 6.736 1.201e-09 "OID00970" "17" "CCL11" "ENSG00000172156" "Intergenic" NA NA 34285668 34288334 "Trans" 1930699823 1934809190 "yes"
"5" "rs7444887" 8326427 1.213 7.987 3.022e-12 "OID00524" "1" "IL24" "ENSG00000162892" "Intergenic" NA NA 206897443 206904139 "Trans" 1930699823 1939026250 "yes"
"5" "rs77371474" 17274101 0.9949 7.99 2.977e-12 "OID01035" "17" "CSNK1D" "ENSG00000141551" "Intronic" "ENSG00000176788" "BASP1" 82239023 82273731 "Trans" 1930699823 1947973924 "yes"
"5" "rs10624573" 35857481 0.3585 8.099 1.753e-12 "OID01253" "5" "IL7R" "ENSG00000168685" "Intronic" "ENSG00000168685" "IL7R" 35852695 35879603 "Cis" 1930699823 1966557304 "yes"
"5" "rs3763097" 38844649 -0.169 -7.554 2.467e-11 "OID01300" "5" "OSMR" "ENSG00000145623" "Upstream" "ENSG00000145623" "OSMR" 38845858 38945596 "Cis" 1930699823 1969544472 "yes"
"5" "rs72749562" 40954200 0.6588 7.036 2.924e-10 "OID01055" "16" "CES2" "ENSG00000172831" "Intronic" "ENSG00000112936" "C7" 66934444 66945096 "Trans" 1930699823 1971654023 "yes"
"5" "rs373022734" 76917820 0.1913 7.82 8.058e-12 "OID01468" "5" "CRHBP" "ENSG00000145708" "Intronic" "ENSG00000171643" "S100Z" 76952713 76981158 "Cis" 1930699823 2007617643 "yes"
"5" "rs75666082" 79933707 0.6474 7.01 3.309e-10 "OID00966" "19" "NTF4" "ENSG00000225950" "Upstream" "ENSG00000250888" "LINC01455" 49061066 49065054 "Trans" 1930699823 2010633530 "yes"
"5" "rs12188441" 81414435 0.2534 7.241 1.106e-10 "OID00547" "22" "LIF" "ENSG00000128342" "UTR_variant" "ENSG00000145687" "SSBP2" 30240447 30246851 "Trans" 1930699823 2012114258 "yes"
"5" "rs74759798" 106558517 0.5808 7.143 1.764e-10 "OID01010" "1" "IFNLR1" "ENSG00000185436" "Intergenic" NA NA 24154157 24187959 "Trans" 1930699823 2037258340 "yes"
"5" "rs3816018" 150128912 -0.3939 -21.7 8.406e-39 "OID01417" "5" "PDGFRB" "ENSG00000113721" "Intronic" "ENSG00000113721" "PDGFRB" 150113837 150155872 "Cis" 1930699823 2080828735 "yes"
"5" "rs12516909" 152163648 0.7255 7.479 3.536e-11 "OID00737" "6" "RSPO3" "ENSG00000146374" "Intronic" "ENSG00000254226" "CTB-12O2.1" 127118604 127197765 "Trans" 1930699823 2082863471 "yes"
"5" "rs36071750" 173441828 1.058 7.773 8.575e-12 "OID01104" "11" "PSMA1" "ENSG00000129084" "Intronic" "ENSG00000253968" "CTB-32H22.1" 14504874 14643635 "Trans" 1930699823 2104141651 "yes"
"6" "rs4149358" 3003736 -0.3536 -9.095 1.306e-14 "OID01173" "6" "NQO2" "ENSG00000124588" "UTR_variant" "ENSG00000124588" "NQO2" 2987987 3028869 "Cis" 2104141651 2107145387 "yes"
"6" "." 16099761 0.583 7.332 7.144e-11 "OID01112" "6" "PTK7" "ENSG00000112655" "Intergenic" NA NA 43076268 43161719 "Trans" 2104141651 2120241412 "yes"
"6" "rs9281428" 31410450 -1.667 -10.34 2.822e-17 "OID00723" "6" "MICB" "ENSG00000204516" "Intronic" "ENSG00000206337" "HCP5" 31494881 31511124 "Cis" 2104141651 2135552101 "yes"
"6" "rs9281428" 31410450 -1.667 -10.34 2.822e-17 "OID00723" "6" "MICA" "ENSG00000204520" "Intronic" "ENSG00000206337" "HCP5" 31399784 31415315 "Cis" 2104141651 2135552101 "yes"
"6" "rs2229092" 31572980 -0.7353 -8.123 1.561e-12 "OID00561" "6" "LTA" "ENSG00000226979" "Coding_sequence_variant" "ENSG00000226979" "LTA" 31572054 31574324 "Cis" 2104141651 2135714631 "yes"
"6" "rs776625761" 32634241 0.324 6.739 1.184e-09 "OID00615" "10" "FAS" "ENSG00000026103" "Upstream" "ENSG00000196735" "HLA-DQA1" 88990582 89015785 "Trans" 2104141651 2136775892 "yes"
"6" "rs9349050" 37695848 0.7876 16.26 2.47e-29 "OID00353" "6" "MDGA1" "ENSG00000112139" "Intronic" "ENSG00000112139" "MDGA1" 37630679 37699306 "Cis" 2104141651 2141837499 "yes"
"6" "rs558717941" 47298284 0.585 7.431 4.677e-11 "OID00631" "10" "PLAU" "ENSG00000122861" "Intronic" "ENSG00000146072" "TNFRSF21" 73909177 73917497 "Trans" 2104141651 2151439935 "yes"
"6" "rs10085258" 64947343 0.6662 6.704 1.389e-09 "OID01329" "2" "GCG" "ENSG00000115263" "Intronic" "ENSG00000188107" "EYS" 162142873 162152404 "Trans" 2104141651 2169088994 "yes"
"6" "rs369954971" 101537447 0.3534 7.111 2.047e-10 "OID01094" "20" "RASSF2" "ENSG00000101265" "Intronic" "ENSG00000164418" "GRIK2" 4780023 4823645 "Trans" 2104141651 2205679098 "yes"
"6" "." 106979080 1.521 6.778 9.836e-10 "OID00556" "2" "CCL20" "ENSG00000115009" "Upstream" "ENSG00000272398" "CD24" 227813842 227817564 "Trans" 2104141651 2211120731 "yes"
"6" "rs576436039" 120882844 1.055 7.711 1.158e-11 "OID01118" "19" "FOSB" "ENSG00000125740" "Intergenic" NA NA 45467995 45475179 "Trans" 2104141651 2225024495 "yes"
"6" "rs77321476" 125864063 0.288 6.949 4.415e-10 "OID00427" "6" "THBS2" "ENSG00000186340" "Intronic" "ENSG00000111912" "NCOA7" 169215780 169254044 "Trans" 2104141651 2230005714 "yes"
"6" "rs77321476" 125864063 1.758 7.661 1.471e-11 "OID01000" "1" "ARNT" "ENSG00000143437" "Intronic" "ENSG00000111912" "NCOA7" 150809705 150876768 "Trans" 2104141651 2230005714 "yes"
"6" "rs6919276" 138760654 -0.4302 -7.592 2.05e-11 "OID01233" "6" "C2" "ENSG00000166278" "Intronic" "ENSG00000279968" "GVQW2" 31897785 31945672 "Trans" 2104141651 2242902305 "yes"
"6" "rs11155297" 143503967 -1.037 -16.17 3.654e-29 "OID01433" "1" "FUCA1" "ENSG00000179163" "Coding_sequence_variant" "ENSG00000001036" "FUCA2" 23845077 23868294 "Trans" 2104141651 2247645618 "yes"
"6" "rs1807815" 149796930 0.1784 6.465 4.214e-09 "OID01179" "6" "LRP11" "ENSG00000120256" NA NA NA 149818798 149864026 "Cis" 2104141651 2253938581 "yes"
"7" "rs373950893" 6783062 0.9289 7.209 1.29e-10 "OID00513" "9" "CCL19" "ENSG00000172724" "Intronic" "ENSG00000169402" "RSPH10B2" 34689567 34691277 "Trans" 2253938581 2260721643 "yes"
"7" "rs73042549" 9295360 0.3052 6.663 1.687e-09 "OID01335" "2" "CFC1" "ENSG00000136698" "Intergenic" NA NA 130592168 130599575 "Trans" 2253938581 2263233941 "yes"
"7" "rs118007210" 26264224 0.5889 6.78 9.747e-10 "OID00989" "10" "PRKCQ" "ENSG00000065675" "Intergenic" NA NA 6427143 6580301 "Trans" 2253938581 2280202805 "yes"
"7" "rs7794711" 64777360 1.435 7.226 1.186e-10 "OID01117" "19" "LHB" "ENSG00000104826" NA NA NA 49015980 49017081 "Trans" 2253938581 2318715941 "yes"
"7" "rs55855056" 67399497 0.7007 7.022 3.134e-10 "OID00498" "17" "CCL4" "ENSG00000275302" "Intergenic" NA NA 36103590 36105621 "Trans" 2253938581 2321338078 "yes"
"7" "rs7799486" 75861434 0.6652 6.569 2.601e-09 "OID00592" "7" "CCL24" "ENSG00000106178" "Intronic" "ENSG00000005486" "RHBDD2" 75811665 75823356 "Cis" 2253938581 2329800015 "yes"
"7" "rs73137740" 80803001 0.679 6.279 9.888e-09 "OID00485" "6" "IL17A" "ENSG00000112115" "Intronic" "ENSG00000075223" "SEMA3C" 52186387 52190638 "Trans" 2253938581 2334741582 "yes"
"7" "rs199533628" 87794625 0.521 7.214 1.26e-10 "OID00525" "5" "IL13" "ENSG00000169194" "Intronic" "ENSG00000105784" "RUNDC3B" 132656263 132661110 "Trans" 2253938581 2341733206 "yes"
"7" "rs17878754" 95402449 -0.4521 -10.17 6.524e-17 "OID01082" "7" "PON2" "ENSG00000105854" "Downstream" "ENSG00000105854" "PON2" 95404863 95435329 "Cis" 2253938581 2349341030 "yes"
"7" "rs7384878" 100334426 -0.668 -12.93 9.442e-23 "OID01149" "7" "PILRB" "ENSG00000121716" "Upstream" "ENSG00000272752" "STAG3L5P-PVRIG2P-PILRB" 100352176 100367733 "Cis" 2253938581 2354273007 "yes"
"7" "rs7384878" 100334426 -0.3443 -8.996 2.137e-14 "OID01420" "7" "PILRA" "ENSG00000085514" "Upstream" "ENSG00000272752" "STAG3L5P-PVRIG2P-PILRB" 100367530 100400099 "Cis" 2253938581 2354273007 "yes"
"7" "." 138622202 1.045 6.412 5.376e-09 "OID01159" "10" "ANXA11" "ENSG00000122359" "Intronic" "ENSG00000157703" "SVOPL" 80150889 80205572 "Trans" 2253938581 2392560783 "yes"
"8" "rs368097177" 8076297 0.9349 6.434 4.87e-09 "OID00700" "9" "CA9" "ENSG00000107159" NA NA NA 35673856 35681159 "Trans" 2392560783 2400637080 "yes"
"8" "rs11785791" 13049191 0.4569 6.495 3.678e-09 "OID00354" "3" "IL5RA" "ENSG00000091181" NA NA NA 3066326 3126613 "Trans" 2392560783 2405609974 "yes"
"8" "rs35339784" 30128896 0.6684 7.139 1.793e-10 "OID01060" "4" "VEGFC" "ENSG00000150630" "Downstream" "ENSG00000177669" "MBOAT4" 176683538 176792727 "Trans" 2392560783 2422689679 "yes"
"8" "rs754471918" 58394673 0.5768 7.25 1.327e-10 "OID01388" "4" "LYAR" "ENSG00000145220" "Intergenic" NA NA 4267701 4290169 "Trans" 2392560783 2450955456 "yes"
"8" "rs79962891" 122824404 0.4652 6.326 7.972e-09 "OID01166" "3" "CLSTN2" "ENSG00000158258" "Intronic" "ENSG00000178764" "ZHX2" 139935185 140577397 "Trans" 2392560783 2515385187 "yes"
"8" "rs72728027" 127214943 0.8217 6.622 2.04e-09 "OID01002" "X" "SH2D1A" "ENSG00000183918" "Intronic" "ENSG00000247844" "CCAT1" 124227868 124373197 "Trans" 2392560783 2519775726 "yes"
"9" "rs57437160" 18514327 0.6088 7.216 1.356e-10 "OID00474" "17" "CCL7" "ENSG00000108688" "Intronic" "ENSG00000178031" "ADAMTSL1" 34270221 34272242 "Trans" 2519775726 2538290053 "yes"
"9" "." 42373849 0.5139 6.489 3.777e-09 "OID01058" "8" "ST3GAL1" "ENSG00000008513" NA NA NA 133454848 133571940 "Trans" 2519775726 2562149575 "yes"
"9" "rs111293922" 89679134 0.135 6.606 2.192e-09 "OID00734" "5" "SMAD5" "ENSG00000113658" "Intronic" "ENSG00000237372" "UNQ6494" 136132845 136188747 "Trans" 2519775726 2609454860 "yes"
"9" "rs10981581" 112984064 0.4464 6.514 3.365e-09 "OID01047" "7" "DPP6" "ENSG00000130226" NA NA NA 153887097 154894285 "Trans" 2519775726 2632759790 "yes"
"9" "." 133263362 -0.4919 -7.257 1.024e-10 "OID00596" "1" "SELE" "ENSG00000007908" "Intronic" "ENSG00000175164" "ABO" 169722641 169764705 "Trans" 2519775726 2653039088 "yes"
"9" "." 133263362 -0.1778 -7.541 2.625e-11 "OID00679" "7" "PODXL" "ENSG00000128567" "Intronic" "ENSG00000175164" "ABO" 131500262 131558217 "Trans" 2519775726 2653039088 "yes"
"9" "rs3124956" 134883003 -0.3223 -6.987 3.686e-10 "OID01290" "9" "FCN2" "ENSG00000160339" "Intronic" "ENSG00000160339" "FCN2" 134880812 134887520 "Cis" 2519775726 2654658729 "yes"
"X" "." 959960 0.4063 7.643 1.606e-11 "OID01119" "19" "CALR" "ENSG00000179218" "Intergenic" NA NA 12938578 12944489 "Trans" 2654658729 2655618689 "yes"
"X" "." 1033462 0.2341 6.843 7.273e-10 "OID01383" "13" "SLITRK6" "ENSG00000184564" "Intergenic" NA NA 85792790 85799488 "Trans" 2654658729 2655692191 "yes"
"X" "." 1303975 0.7487 11.32 2.289e-19 "OID00334" "X" "CSF2RA" "ENSG00000198223" "Intronic" "ENSG00000198223" "CSF2RA" 1268800 1310381 "Cis" 2654658729 2655962704 "yes"
"X" "rs201960123" 4650681 0.3414 7.393 5.354e-11 "OID01339" "X" "BGN" "ENSG00000182492" "Intergenic" NA NA 153494939 153509554 "Trans" 2654658729 2659309410 "yes"
"X" "rs201939993" 5670513 0.3437 7.51 3.054e-11 "OID01379" "12" "CLSTN3" "ENSG00000139182" "Intronic" "ENSG00000236120" "RP11-733O18.1" 7129698 7158945 "Trans" 2654658729 2660329242 "yes"
"X" "rs76502289" 44523562 1.041 7.708 1.172e-11 "OID01078" "5" "RASA1" "ENSG00000145715" "Downstream" "ENSG00000069509" "FUNDC1" 87267888 87391931 "Trans" 2654658729 2699182291 "yes"
"X" "rs11355987" 79095052 0.2214 6.762 1.063e-09 "OID01384" "2" "PREB" "ENSG00000138073" "Intergenic" NA NA 27130756 27134675 "Trans" 2654658729 2733753781 "yes"
"X" "rs62608362" 129725927 -0.7191 -11.72 3.167e-20 "OID00704" "X" "XPNPEP2" "ENSG00000122121" "Intergenic" NA NA 129738974 129769538 "Cis" 2654658729 2784384656 "yes"
"X" "rs775309550" 134690988 0.5999 6.589 2.378e-09 "OID00311" "4" "LRPAP1" "ENSG00000163956" NA NA NA 3506376 3532559 "Trans" 2654658729 2789349717 "yes"
